Node,KC
C0003451,0.021089738
C0003455,0.000253605
C0003459,8.45E-05
C0003460,0.000446353
C0003461,0.000937473
C0003466,8.90E-05
C0003467,0.022873487
C0003469,0.002334401
C0003477,8.76E-05
C0003483,0.006832441
C0003486,0.000906939
C0003492,0.000186137
C0003493,0.000426928
C0003496,0.000168874
C0003504,0.001124601
C0003507,0.001708534
C0003509,0.000178745
C0003515,0.000171296
C0003521,8.43E-05
C0003522,8.44E-05
C0003537,0.001111094
C0003562,0.000168756
C0003578,0.002721494
C0003588,9.01E-05
C0003591,0.000596817
C0003592,8.45E-05
C0003593,8.44E-05
C0003595,0.001701829
C0003601,0.000171378
C0003611,0.002447598
C0003614,0.000179321
C0003615,0.004646743
C0003617,0.00216589
C0003618,0.000869299
C0003621,9.26E-05
C0003622,8.46E-05
C0003641,0.000426607
C0003646,8.52E-05
C0003662,0.001207236
C0003682,0.000341394
C0003692,8.79E-05
C0003695,0.001875468
C0003723,0.000738728
C0003725,0.001322472
C0003732,0.001193448
C0003733,8.52E-05
C0003737,8.65E-05
C0003741,0.00025324
C0003755,0.000638133
C0003762,0.001022618
C0003765,0.002406808
C0003779,0.000600514
C0003794,0.00046606
C0003805,0.000185562
C0003806,8.47E-05
C0003808,0.000439233
C0003811,0.007489182
C0003813,0.000342018
C0003818,0.000796654
C0003826,8.45E-05
C0003827,9.07E-05
C0003835,0.000445215
C0003838,0.000763693
C0003842,0.022001153
C0003844,0.000598605
C0003847,0.000777305
C0003850,0.007795515
C0003851,0.000339955
C0003855,0.002217047
C0003857,0.002944648
C0003860,0.000705447
C0003862,0.001819144
C0003864,0.006091453
C0003868,8.47E-05
C0003869,0.001219053
C0003872,0.001237632
C0003873,0.008147763
C0003875,8.88E-05
C0003876,8.45E-05
C0003881,0.000253245
C0003885,0.000512033
C0003893,0.002653458
C0003898,0.000441619
C0003903,0.000683899
C0003904,0.000762043
C0003916,0.000856131
C0003943,8.45E-05
C0003947,0.000192062
C0003949,0.000168874
C0003950,0.000203212
C0003956,8.49E-05
C0003962,0.001829001
C0003964,0.000433501
C0003965,8.48E-05
C0003967,0.000170707
C0003968,0.005486735
C0003969,9.65E-05
C0003974,8.46E-05
C0003988,0.000608282
C0003993,0.000254629
C0003995,0.000610955
C0003999,0.000253517
C0004002,0.002229568
C0004015,0.00069125
C0004030,0.001761601
C0004031,0.000213908
C0004034,0.000521551
C0004036,0.000352145
C0004037,0.000425569
C0004039,8.44E-05
C0004044,0.001355528
C0004045,8.90E-05
C0004048,0.005730394
C0004057,0.00706363
C0004063,0.001263343
C0004083,0.00034209
C0004093,0.000172232
C0004095,0.000620114
C0004096,0.026496239
C0004106,0.000422761
C0004112,0.009743237
C0004114,0.000191638
C0004120,0.003724454
C0004134,0.001758829
C0004135,0.000480225
C0004138,0.000168874
