Node,BC
C0001347,3.33E-05
C0001349,3.66E-05
C0001361,9.73E-08
C0001363,7.96E-08
C0001364,1.05E-08
C0001367,1.93E-05
C0001374,4.99E-05
C0001383,0
C0001390,1.81E-08
C0001392,4.19E-06
C0001400,3.99E-08
C0001403,5.60E-05
C0001407,7.09E-08
C0001417,1.83E-06
C0001418,0.000321141
C0001425,9.75E-06
C0001428,0.000114238
C0001430,0.000247206
C0001442,0
C0001443,0.000222302
C0001451,0
C0001455,3.35E-05
C0001457,9.16E-05
C0001459,2.38E-06
C0001461,3.44E-06
C0001464,0
C0001468,2.14E-08
C0001471,9.93E-07
C0001473,1.94E-05
C0001476,1.74E-07
C0001477,0
C0001479,7.36E-07
C0001480,0.000126845
C0001483,0.000479623
C0001486,8.56E-05
C0001487,1.32E-06
C0001489,3.26E-09
C0001490,0.000174666
C0001491,5.89E-07
C0001492,0
C0001497,0
C0001506,0
C0001510,1.15E-07
C0001511,0.000829303
C0001516,5.00E-05
C0001519,2.17E-07
C0001527,8.15E-05
C0001546,4.87E-05
C0001551,0.001780338
C0001552,0
C0001554,0.000561625
C0001558,0
C0001559,5.51E-07
C0001560,1.42E-05
C0001561,0
C0001562,0
C0001563,0.000284273
C0001566,1.10E-05
C0001568,0
C0001575,7.00E-07
C0001576,0
C0001578,8.56E-08
C0001588,1.47E-05
C0001589,5.14E-05
C0001593,0
C0001601,0
C0001613,0.000284163
C0001617,0.001275789
C0001618,1.61E-08
C0001621,6.83E-07
C0001622,3.62E-09
C0001623,4.46E-05
C0001624,4.07E-06
C0001625,6.42E-05
C0001627,8.06E-09
C0001629,0.000156951
C0001632,0.000169273
C0001639,0
C0001641,1.59E-07
C0001643,2.24E-06
C0001644,5.01E-05
C0001645,0.000148472
C0001646,0
C0001648,4.08E-08
C0001655,1.63E-05
C0001675,0.010836641
C0001694,0
C0001697,0
C0001699,5.37E-05
C0001701,4.32E-07
C0001705,0
C0001707,0
C0001712,3.59E-06
C0001721,5.74E-08
C0001728,4.87E-05
C0001752,1.22E-05
C0001753,7.54E-06
C0001758,1.93E-06
C0001768,6.10E-07
C0001771,5.28E-05
C0001774,1.23E-06
C0001779,0.000244771
C0001792,0.001662473
C0001795,6.01E-08
C0001801,5.03E-06
C0001802,8.17E-06
C0001807,1.80E-05
C0001811,0.0006993
C0001814,0
C0001815,4.52E-06
C0001818,0
C0001824,4.87E-05
C0001825,9.24E-07
C0001829,4.89E-05
C0001849,0
C0001857,0
C0001869,6.14E-05
C0001873,2.47E-07
C0001876,1.79E-07
C0001878,4.07E-05
C0001881,0
C0001882,0
C0001883,8.93E-05
C0001884,7.86E-07
C0001889,0
C0001898,3.97E-05
C0001899,1.82E-05
C0001911,8.22E-07
C0001916,7.33E-08
C0001924,0.000276807
C0001925,5.35E-05
C0001927,5.63E-05
C0001942,4.87E-05
C0001948,6.03E-05
C0001956,6.00E-06
C0001962,0.001000232
C0001963,8.84E-05
C0001964,0
C0001967,9.22E-05
C0001969,2.15E-06
C0001973,7.89E-06
C0001992,3.48E-06
C0001998,0
C0002003,0
C0002006,2.68E-05
C0002016,3.76E-07
C0002017,1.81E-06
C0002018,0
C0002020,5.86E-07
C0002028,4.74E-07
C0002031,0
C0002033,0
C0002045,0.000239718
C0002049,1.52E-09
C0002055,0.000270985
C0002059,7.42E-06
C0002062,0.000467607
C0002063,0
C0002064,0
C0002065,9.74E-05
C0002066,0
C0002068,0
C0002072,2.25E-07
C0002073,1.54E-07
C0002078,0
C0002083,0
C0002085,0.00061005
C0002092,1.51E-05
C0002098,4.87E-05
C0002106,8.76E-09
C0002122,2.18E-07
C0002123,4.87E-05
C0002125,0
C0002131,2.02E-07
C0002144,2.05E-06
C0002154,2.35E-06
C0002157,0
C0002164,3.77E-06
C0002168,8.12E-07
C0002170,3.20E-05
C0002175,0
C0002186,5.58E-06
C0002191,6.74E-06
C0002198,2.71E-06
C0002199,0.000916681
C0002210,2.13E-06
C0002240,0
C0002241,1.16E-08
C0002245,4.89E-05
C0002246,0
C0002251,0
C0002257,0
C0002260,0
C0002268,0
C0002270,0
C0002272,5.66E-07
C0002287,1.63E-08
C0002302,9.74E-05
C0002318,2.86E-07
C0002331,2.91E-05
C0002335,2.70E-06
C0002345,5.55E-05
C0002346,0
C0002367,5.44E-05
C0002371,9.78E-05
C0002382,1.96E-06
C0002387,0
C0002390,4.55E-05
C0002395,0.001000215
C0002403,0.00010985
C0002416,0
C0002418,9.76E-05
C0002421,3.87E-06
C0002422,3.31E-05
C0002423,4.32E-05
C0002424,0.000431921
C0002428,2.58E-05
C0002430,0
C0002438,2.79E-06
C0002448,6.68E-08
C0002458,0
C0002460,4.71E-07
C0002461,0
C0002464,0
C0002475,0.000101964
C0002482,1.55E-06
C0002483,0
C0002488,0
C0002499,2.42E-05
C0002502,5.23E-05
C0002505,0
C0002508,0.000242714
C0002520,0.002117256
C0002521,4.87E-05
C0002525,4.87E-05
C0002529,2.64E-06
C0002530,4.87E-05
C0002531,3.94E-05
C0002556,2.56E-05
C0002563,4.07E-06
C0002570,0.000109763
C0002573,0
C0002575,1.83E-07
C0002578,1.69E-07
C0002588,0
C0002594,1.18E-05
C0002598,0.000141569
C0002600,2.77E-07
C0002607,1.13E-05
C0002611,7.85E-08
C0002615,1.53E-06
C0002620,0
C0002622,2.12E-06
C0002624,0
C0002627,0
C0002630,0
C0002638,0.00017943
C0002641,5.85E-08
C0002642,5.35E-05
C0002645,5.39E-06
C0002658,5.81E-05
C0002667,4.87E-05
C0002668,8.25E-05
C0002679,5.66E-06
C0002680,1.20E-05
C0002684,0
C0002688,7.78E-05
C0002690,7.63E-05
C0002695,4.87E-05
C0002708,2.04E-05
C0002710,0
C0002712,0.000178445
C0002716,0.000215545
C0002723,6.09E-05
C0002726,8.53E-06
C0002736,0.00016776
C0002760,9.99E-06
C0002763,4.97E-05
C0002766,0.000207635
C0002769,4.61E-05
C0002771,0.000421532
C0002772,0.000225829
C0002773,0
C0002783,7.02E-06
C0002792,8.38E-05
C0002793,1.07E-06
C0002794,0
C0002797,0
C0002804,6.61E-08
C0002812,0
C0002830,0
C0002842,6.73E-05
C0002844,0.000147762
C0002845,6.52E-06
C0002871,0.00049069
C0002873,3.07E-08
C0002874,8.36E-07
C0002875,5.31E-05
C0002878,5.02E-05
C0002879,0
C0002880,4.37E-06
C0002888,1.81E-06
C0002895,8.11E-05
C0002903,0.001472683
C0002911,1.49E-05
C0002915,0.000245384
C0002920,7.75E-07
C0002921,7.83E-05
C0002922,0
C0002928,0.000138601
C0002930,4.82E-08
C0002932,0.000210937
C0002934,1.01E-06
C0002938,2.95E-07
C0002940,0.001094071
C0002949,3.48E-05
C0002950,2.73E-06
C0002952,1.04E-06
C0002957,8.31E-07
C0002959,3.75E-06
C0002965,1.89E-07
C0002976,3.10E-07
C0002978,0.000519818
C0002979,0.000118868
C0002986,1.90E-06
C0002991,2.12E-07
C0002992,0
C0002994,1.45E-05
C0002996,4.53E-05
C0002997,0
C0003006,4.19E-05
C0003009,0.000628591
C0003011,1.03E-05
C0003012,0
C0003015,9.54E-05
C0003017,7.04E-06
C0003018,5.81E-05
C0003035,0
C0003036,1.19E-07
C0003047,7.88E-06
C0003048,3.51E-07
C0003050,0
C0003055,4.87E-05
C0003060,2.16E-05
C0003062,0.005414047
C0003063,1.77E-05
C0003064,3.89E-05
C0003065,1.58E-07
